step,epoch,eval_crossner_politics,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,loss,grad_norm,learning_rate,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
4,0.571,0.0,0.0,3.6655,27.282,0.273,,,,,,,,,
5,0.714,,,,,,0.7758,4.49509859085083,2e-05,,,,,,
7,1.0,0.0,0.0,37.0576,2.699,0.027,,,,,,,,,
10,1.429,,,,,,0.4925,1.5701375007629395,2e-05,,,,,,
10,1.429,0.03576751115817884,0.03576751115817884,18.482,5.411,0.054,,,,,,,,,
14,2.0,0.12705882348776276,0.12705882348776276,18.5113,5.402,0.054,,,,,,,,,
15,2.143,,,,,,0.245,0.9579887986183167,2e-05,,,,,,
18,2.571,0.23924268497582435,0.23924268497582435,18.4994,5.406,0.054,,,,,,,,,
20,2.857,,,,,,0.1602,0.5649035573005676,2e-05,,,,,,
21,3.0,0.28823058441761124,0.28823058441761124,18.5199,5.4,0.054,,,,,,,,,
24,3.429,0.36292223090062714,0.36292223090062714,14.4113,6.939,0.069,,,,,,,,,
25,3.571,,,,,,0.12,0.5418621897697449,2e-05,,,,,,
28,4.0,0.45591739470778914,0.45591739470778914,14.8268,6.745,0.067,,,,,,,,,
30,4.286,,,,,,0.094,0.4487379789352417,2e-05,,,,,,
32,4.571,0.4944881889264608,0.4944881889264608,14.7637,6.773,0.068,,,,,,,,,
35,5.0,,,,,,0.077,0.39063137769699097,2e-05,,,,,,
35,5.0,0.5269943593375657,0.5269943593375657,14.6089,6.845,0.068,,,,,,,,,
38,5.429,0.5456012913139698,0.5456012913139698,14.6001,6.849,0.068,,,,,,,,,
40,5.714,,,,,,0.0685,0.29391932487487793,2e-05,,,,,,
42,6.0,0.5559157211817191,0.5559157211817191,14.6249,6.838,0.068,,,,,,,,,
45,6.429,,,,,,0.0598,0.31815260648727417,2e-05,,,,,,
46,6.571,0.563106796066461,0.563106796066461,14.6192,6.84,0.068,,,,,,,,,
49,7.0,0.5697959183172782,0.5697959183172782,15.1749,6.59,0.066,,,,,,,,,
50,7.143,,,,,,0.0556,0.2731316089630127,2e-05,,,,,,
52,7.429,0.5975510203580899,0.5975510203580899,15.0685,6.636,0.066,,,,,,,,,
55,7.857,,,,,,0.0517,0.24009326100349426,2e-05,,,,,,
56,8.0,0.6199505358114058,0.6199505358114058,15.0263,6.655,0.067,,,,,,,,,
60,8.571,,,,,,0.0468,0.21676255762577057,2e-05,,,,,,
60,8.571,0.6321934945287103,0.6321934945287103,14.8574,6.731,0.067,,,,,,,,,
63,9.0,0.6397306396805355,0.6397306396805355,18.5176,5.4,0.054,,,,,,,,,
65,9.286,,,,,,0.0405,0.28632089495658875,2e-05,,,,,,
66,9.429,0.6487394957482125,0.6487394957482125,18.5322,5.396,0.054,,,,,,,,,
70,10.0,,,,,,0.0429,0.1780940741300583,2e-05,,,,,,
70,10.0,0.6494156927712604,0.6494156927712604,18.4986,5.406,0.054,,,,,,,,,
74,10.571,0.6521739129933692,0.6521739129933692,18.455,5.419,0.054,,,,,,,,,
75,10.714,,,,,,0.0382,0.21202468872070312,2e-05,,,,,,
77,11.0,0.6571668063203853,0.6571668063203853,18.5729,5.384,0.054,,,,,,,,,
80,11.429,,,,,,0.038,0.18040283024311066,2e-05,,,,,,
80,11.429,0.6622073578094212,0.6622073578094212,18.488,5.409,0.054,,,,,,,,,
84,12.0,0.675630252050729,0.675630252050729,18.4943,5.407,0.054,,,,,,,,,
84,12.0,,,,,,,,,446.229,5.378,0.188,3063864866373632.0,3.063864866373632,0.1451136271158854
