epoch,eval_average,eval_crossner_ai,eval_crossner_music
0.5,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.5,0.0,0.0,0.0
2.0,0.0,0.0,0.0
2.5,0.0,0.0,0.0
3.0,0.0,0.0,0.0
3.5,0.0,0.0,0.0
4.0,0.0,0.0,0.0
4.5,0.0,0.0,0.0
5.0,0.0,0.0,0.0
5.5,0.0,0.0,0.0
6.0,0.0,0.0,0.0
6.5,0.0,0.0,0.0
7.0,0.00823045266803615,0.0,0.0164609053360723
7.5,0.0084033613393716,0.0,0.0168067226787432
8.0,0.00948509484313805,0.0,0.0189701896862761
8.5,0.0239596468977945,0.0,0.047919293795589
9.0,0.07282427799059266,0.0311111110854419,0.1145374448957434
9.5,0.16734562408945897,0.1150278292722137,0.2196634189067042
10.0,0.22992353212034444,0.2010869564717568,0.2587601077689321
10.5,0.2829875518172872,0.1659751036845547,0.3999999999500196
11.0,0.35345248822637065,0.3355176932657706,0.3713872831869707
11.5,0.441143158951442,0.3994811932054128,0.4828051246974712
12.0,0.46642018707996824,0.4439197165973647,0.4889206575625718
