epoch,eval_average,eval_crossner_ai,eval_crossner_music,eval_crossner_science
0.5,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0
1.5,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0
2.5,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,0.0
3.5,0.0030030030009657997,0.0,0.0,0.0090090090028974
4.0,0.073089700983048,0.0,0.0,0.219269102949144
4.5,0.16270698342470755,0.0,0.0,0.4881209502741226
5.0,0.16752843845299603,0.0,0.0,0.5025853153589881
5.5,0.1880665128476534,0.0,0.0087591240847115,0.5554404144582488
6.0,0.21296437617677244,0.0,0.0901126407747569,0.5487804877555604
6.5,0.2829435086671939,0.0149999999913974,0.2453531598044977,0.5884773662056867
7.0,0.34657976188454304,0.0669856459172409,0.3871866294765878,0.5855670102598006
7.5,0.41034722482521424,0.1351351350963596,0.4676882078118693,0.6282183315674138
8.0,0.46396878708498396,0.2642642642152675,0.4946524063675223,0.6329896906721619
8.5,0.49257526744328545,0.3324675324174492,0.5101373446203372,0.6351209252920698
9.0,0.5084947345067584,0.3325301204321637,0.538255033507416,0.6546990495806955
9.5,0.5394530687781863,0.4237485447700705,0.5492498368717106,0.645360824692778
10.0,0.5503103726852445,0.4364060676284333,0.5569620252668874,0.6575630251604129
10.5,0.5660370634371837,0.4300111981592338,0.5921938088332462,0.6759061833190715
11.0,0.5732330127070363,0.4598214285224111,0.5767940978712282,0.6830835117274695
11.5,0.5861285043347396,0.4760820045065431,0.5955435516045984,0.6867599568930773
12.0,0.594927697357892,0.4922394678002851,0.6160108547670952,0.6765327695062955
