step,epoch,eval_crossner_literature,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,loss,grad_norm,learning_rate,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
2,0.5,0.0,0.0,13.4145,7.455,0.075,,,,,,,,,
4,1.0,0.0,0.0,9.7533,10.253,0.103,,,,,,,,,
5,1.25,,,,,,1.6367,7.822737216949463,2e-05,,,,,,
6,1.5,0.0,0.0,9.7899,10.215,0.102,,,,,,,,,
8,2.0,0.0,0.0,10.2861,9.722,0.097,,,,,,,,,
10,2.5,,,,,,1.1895,3.490710496902466,2e-05,,,,,,
10,2.5,0.0,0.0,10.5094,9.515,0.095,,,,,,,,,
12,3.0,0.0,0.0,10.0435,9.957,0.1,,,,,,,,,
14,3.5,0.0,0.0,9.9853,10.015,0.1,,,,,,,,,
15,3.75,,,,,,0.7914,2.4230945110321045,2e-05,,,,,,
16,4.0,0.0,0.0,10.775,9.281,0.093,,,,,,,,,
18,4.5,0.0,0.0,9.8215,10.182,0.102,,,,,,,,,
20,5.0,,,,,,0.5752,1.6841323375701904,2e-05,,,,,,
20,5.0,0.0,0.0,9.8159,10.188,0.102,,,,,,,,,
22,5.5,0.0,0.0,10.067,9.933,0.099,,,,,,,,,
24,6.0,0.0,0.0,9.8151,10.188,0.102,,,,,,,,,
25,6.25,,,,,,0.4592,1.1748813390731812,2e-05,,,,,,
26,6.5,0.0,0.0,9.8018,10.202,0.102,,,,,,,,,
28,7.0,0.0,0.0,9.8015,10.203,0.102,,,,,,,,,
30,7.5,,,,,,0.3625,0.897493839263916,2e-05,,,,,,
30,7.5,0.004201680657575383,0.004201680657575383,9.7688,10.237,0.102,,,,,,,,,
32,8.0,0.04322200390524971,0.04322200390524971,9.7923,10.212,0.102,,,,,,,,,
34,8.5,0.08041958038367525,0.08041958038367525,9.8188,10.185,0.102,,,,,,,,,
35,8.75,,,,,,0.2899,0.848342776298523,2e-05,,,,,,
36,9.0,0.13124999995675782,0.13124999995675782,9.7233,10.285,0.103,,,,,,,,,
38,9.5,0.15474452550128745,0.15474452550128745,9.7269,10.281,0.103,,,,,,,,,
40,10.0,,,,,,0.2429,0.702849268913269,2e-05,,,,,,
40,10.0,0.19753086414950974,0.19753086414950974,9.7249,10.283,0.103,,,,,,,,,
42,10.5,0.24331550797278947,0.24331550797278947,9.7126,10.296,0.103,,,,,,,,,
44,11.0,0.30530401030009724,0.30530401030009724,9.7389,10.268,0.103,,,,,,,,,
45,11.25,,,,,,0.2108,0.5858160853385925,2e-05,,,,,,
46,11.5,0.3072983354180107,0.3072983354180107,9.7965,10.208,0.102,,,,,,,,,
48,12.0,0.2936708860264675,0.2936708860264675,9.7141,10.294,0.103,,,,,,,,,
48,12.0,,,,,,,,,250.8241,4.784,0.191,520051811680256.0,0.520051811680256,0.6112772623697916
